Date/Time,Mean level (m)
"2022-05-13 12:12:00",0.230
"2022-05-13 12:06:00",0.230
"2022-05-13 12:00:00",0.230
"2022-05-13 11:54:00",0.230
"2022-05-13 11:48:00",0.230
"2022-05-13 11:42:00",0.230
"2022-05-13 11:36:00",0.230
"2022-05-13 11:30:00",0.230
"2022-05-13 11:24:00",0.230
"2022-05-13 11:18:00",0.230
"2022-05-13 11:12:00",0.230
"2022-05-13 11:06:00",0.230
"2022-05-13 11:00:00",0.230
"2022-05-13 10:54:00",0.230
"2022-05-13 10:48:00",0.230
"2022-05-13 10:42:00",0.230
"2022-05-13 10:36:00",0.230
"2022-05-13 10:30:00",0.230
"2022-05-13 10:24:00",0.230
"2022-05-13 10:18:00",0.230
"2022-05-13 10:12:00",0.230
"2022-05-13 10:06:00",0.230
"2022-05-13 10:00:00",0.230
"2022-05-13 09:54:00",0.230
"2022-05-13 09:48:00",0.230
"2022-05-13 09:42:00",0.230
"2022-05-13 09:36:00",0.230
"2022-05-13 09:30:00",0.230
"2022-05-13 09:24:00",0.230
"2022-05-13 09:18:00",0.230
"2022-05-13 09:12:00",0.230
"2022-05-13 09:06:00",0.230
"2022-05-13 09:00:00",0.230
"2022-05-13 08:54:00",0.230
"2022-05-13 08:48:00",0.230
"2022-05-13 08:42:00",0.230
"2022-05-13 08:36:00",0.230
"2022-05-13 08:30:00",0.230
"2022-05-13 08:24:00",0.230
"2022-05-13 08:18:00",0.230
"2022-05-13 08:12:00",0.230
"2022-05-13 08:06:00",0.230
"2022-05-13 08:00:00",0.230
"2022-05-13 07:54:00",0.230
"2022-05-13 07:48:00",0.230
"2022-05-13 07:42:00",0.230
"2022-05-13 07:36:00",0.230
"2022-05-13 07:30:00",0.230
"2022-05-13 07:24:00",0.230
"2022-05-13 07:18:00",0.230
"2022-05-13 07:12:00",0.230
"2022-05-13 07:06:00",0.230
"2022-05-13 07:00:00",0.230
"2022-05-13 06:54:00",0.230
"2022-05-13 06:48:00",0.230
"2022-05-13 06:42:00",0.230
"2022-05-13 06:36:00",0.230
"2022-05-13 06:30:00",0.230
"2022-05-13 06:24:00",0.230
"2022-05-13 06:18:00",0.230
"2022-05-13 06:12:00",0.230
"2022-05-13 06:06:00",0.230
"2022-05-13 06:00:00",0.230
"2022-05-13 05:54:00",0.230
"2022-05-13 05:48:00",0.230
"2022-05-13 05:42:00",0.230
"2022-05-13 05:36:00",0.230
"2022-05-13 05:30:00",0.230
"2022-05-13 05:24:00",0.230
"2022-05-13 05:18:00",0.230
"2022-05-13 05:12:00",0.230
"2022-05-13 05:06:00",0.230
"2022-05-13 05:00:00",0.230
"2022-05-13 04:54:00",0.230
"2022-05-13 04:48:00",0.230
"2022-05-13 04:42:00",0.230
"2022-05-13 04:36:00",0.230
"2022-05-13 04:30:00",0.230
"2022-05-13 04:24:00",0.230
"2022-05-13 04:18:00",0.240
"2022-05-13 04:12:00",0.240
"2022-05-13 04:06:00",0.230
"2022-05-13 04:00:00",0.240
"2022-05-13 03:54:00",0.240
"2022-05-13 03:48:00",0.240
"2022-05-13 03:42:00",0.240
"2022-05-13 03:36:00",0.230
"2022-05-13 03:30:00",0.230
"2022-05-13 03:24:00",0.240
"2022-05-13 03:18:00",0.240
"2022-05-13 03:12:00",0.240
"2022-05-13 03:06:00",0.240
"2022-05-13 03:00:00",0.240
"2022-05-13 02:54:00",0.240
"2022-05-13 02:48:00",0.240
"2022-05-13 02:42:00",0.240
"2022-05-13 02:36:00",0.240
"2022-05-13 02:30:00",0.240
"2022-05-13 02:24:00",0.240
"2022-05-13 02:18:00",0.240
"2022-05-13 02:12:00",0.240
"2022-05-13 02:06:00",0.240
"2022-05-13 02:00:00",0.240
"2022-05-13 01:54:00",0.240
"2022-05-13 01:48:00",0.240
"2022-05-13 01:42:00",0.240
"2022-05-13 01:36:00",0.240
"2022-05-13 01:30:00",0.240
"2022-05-13 01:24:00",0.240
"2022-05-13 01:18:00",0.240
"2022-05-13 01:12:00",0.240
"2022-05-13 01:06:00",0.240
"2022-05-13 01:00:00",0.240
"2022-05-13 00:54:00",0.240
"2022-05-13 00:48:00",0.240
"2022-05-13 00:42:00",0.240
"2022-05-13 00:36:00",0.240
"2022-05-13 00:30:00",0.240
"2022-05-13 00:24:00",0.240
"2022-05-13 00:18:00",0.240
"2022-05-13 00:12:00",0.240
"2022-05-13 00:06:00",0.240
"2022-05-13 00:00:00",0.240
